created model
Epoch 112/200 | Train Loss: 0.8103 | Val Loss: 5.9415 | Style Acc: 0.5707 | Artist Acc: 0.3884
Epoch 113/200 | Train Loss: 0.8090 | Val Loss: 5.9035 | Style Acc: 0.5736 | Artist Acc: 0.3869
Epoch 114/200 | Train Loss: 0.8030 | Val Loss: 5.9676 | Style Acc: 0.5758 | Artist Acc: 0.3894
Epoch 115/200 | Train Loss: 0.7852 | Val Loss: 5.9823 | Style Acc: 0.5718 | Artist Acc: 0.3835
Epoch 116/200 | Train Loss: 0.7870 | Val Loss: 5.9428 | Style Acc: 0.5719 | Artist Acc: 0.3904
Epoch 117/200 | Train Loss: 0.7711 | Val Loss: 6.0151 | Style Acc: 0.5740 | Artist Acc: 0.3874
Epoch 118/200 | Train Loss: 0.7678 | Val Loss: 6.0207 | Style Acc: 0.5683 | Artist Acc: 0.3879
Epoch 119/200 | Train Loss: 0.7594 | Val Loss: 5.9681 | Style Acc: 0.5734 | Artist Acc: 0.3899
Epoch 120/200 | Train Loss: 0.7527 | Val Loss: 6.0310 | Style Acc: 0.5746 | Artist Acc: 0.3896
Epoch 121/200 | Train Loss: 0.7414 | Val Loss: 5.9838 | Style Acc: 0.5728 | Artist Acc: 0.3911
Epoch 122/200 | Train Loss: 0.7398 | Val Loss: 5.9755 | Style Acc: 0.5778 | Artist Acc: 0.3912
Epoch 123/200 | Train Loss: 0.7356 | Val Loss: 6.0261 | Style Acc: 0.5766 | Artist Acc: 0.3900
Epoch 124/200 | Train Loss: 0.7306 | Val Loss: 6.0647 | Style Acc: 0.5735 | Artist Acc: 0.3916
Epoch 125/200 | Train Loss: 0.7227 | Val Loss: 6.1111 | Style Acc: 0.5753 | Artist Acc: 0.3886
Epoch 126/200 | Train Loss: 0.7124 | Val Loss: 6.1317 | Style Acc: 0.5708 | Artist Acc: 0.3883
Epoch 127/200 | Train Loss: 0.7063 | Val Loss: 6.0391 | Style Acc: 0.5755 | Artist Acc: 0.3885
Epoch 128/200 | Train Loss: 0.7039 | Val Loss: 6.0528 | Style Acc: 0.5777 | Artist Acc: 0.3917
Epoch 129/200 | Train Loss: 0.6986 | Val Loss: 6.0950 | Style Acc: 0.5742 | Artist Acc: 0.3868
Epoch 130/200 | Train Loss: 0.7000 | Val Loss: 6.1190 | Style Acc: 0.5760 | Artist Acc: 0.3917
Epoch 131/200 | Train Loss: 0.6823 | Val Loss: 6.1575 | Style Acc: 0.5714 | Artist Acc: 0.3913
Epoch 132/200 | Train Loss: 0.6775 | Val Loss: 6.1354 | Style Acc: 0.5763 | Artist Acc: 0.3909
Epoch 133/200 | Train Loss: 0.6762 | Val Loss: 6.1412 | Style Acc: 0.5776 | Artist Acc: 0.3901
Epoch 134/200 | Train Loss: 0.6781 | Val Loss: 6.1635 | Style Acc: 0.5718 | Artist Acc: 0.3872
Epoch 135/200 | Train Loss: 0.6640 | Val Loss: 6.1479 | Style Acc: 0.5756 | Artist Acc: 0.3910
Epoch 136/200 | Train Loss: 0.6550 | Val Loss: 6.1682 | Style Acc: 0.5731 | Artist Acc: 0.3864
Epoch 137/200 | Train Loss: 0.6602 | Val Loss: 6.1546 | Style Acc: 0.5771 | Artist Acc: 0.3915
Epoch 138/200 | Train Loss: 0.6526 | Val Loss: 6.1928 | Style Acc: 0.5706 | Artist Acc: 0.3895
Epoch 139/200 | Train Loss: 0.6442 | Val Loss: 6.1938 | Style Acc: 0.5713 | Artist Acc: 0.3896
Epoch 140/200 | Train Loss: 0.6403 | Val Loss: 6.1816 | Style Acc: 0.5762 | Artist Acc: 0.3921
Epoch 141/200 | Train Loss: 0.6429 | Val Loss: 6.1499 | Style Acc: 0.5788 | Artist Acc: 0.3909
Epoch 142/200 | Train Loss: 0.6404 | Val Loss: 6.1847 | Style Acc: 0.5761 | Artist Acc: 0.3921
Epoch 143/200 | Train Loss: 0.6315 | Val Loss: 6.2324 | Style Acc: 0.5757 | Artist Acc: 0.3913
Epoch 144/200 | Train Loss: 0.6311 | Val Loss: 6.1850 | Style Acc: 0.5765 | Artist Acc: 0.3912
Epoch 145/200 | Train Loss: 0.6222 | Val Loss: 6.1959 | Style Acc: 0.5715 | Artist Acc: 0.3928
Epoch 146/200 | Train Loss: 0.6164 | Val Loss: 6.2256 | Style Acc: 0.5735 | Artist Acc: 0.3938
Epoch 147/200 | Train Loss: 0.6133 | Val Loss: 6.2190 | Style Acc: 0.5742 | Artist Acc: 0.3901
Epoch 148/200 | Train Loss: 0.6114 | Val Loss: 6.2102 | Style Acc: 0.5757 | Artist Acc: 0.3916
Epoch 149/200 | Train Loss: 0.6126 | Val Loss: 6.2620 | Style Acc: 0.5757 | Artist Acc: 0.3933
Epoch 150/200 | Train Loss: 0.6049 | Val Loss: 6.2222 | Style Acc: 0.5762 | Artist Acc: 0.3902
Epoch 151/200 | Train Loss: 0.6031 | Val Loss: 6.2534 | Style Acc: 0.5766 | Artist Acc: 0.3911
Epoch 152/200 | Train Loss: 0.5988 | Val Loss: 6.2441 | Style Acc: 0.5747 | Artist Acc: 0.3906
Epoch 153/200 | Train Loss: 0.6053 | Val Loss: 6.2660 | Style Acc: 0.5746 | Artist Acc: 0.3925
